danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.53,0.571,1,-4.924,1,0.0315,0.536,0.0,0.108,0.25,131.895,track,6y8ttGONnBJe5IjgFxX47V,spotify:track:6y8ttGONnBJe5IjgFxX47V,https://api.spotify.com/v1/tracks/6y8ttGONnBJe5IjgFxX47V,https://api.spotify.com/v1/audio-analysis/6y8ttGONnBJe5IjgFxX47V,416800,4
0.411,0.732,1,-6.743,1,0.0814,0.0796,0.0,0.34,0.686,167.956,track,79nCnMMdc114kKQCcHNq3j,spotify:track:79nCnMMdc114kKQCcHNq3j,https://api.spotify.com/v1/tracks/79nCnMMdc114kKQCcHNq3j,https://api.spotify.com/v1/audio-analysis/79nCnMMdc114kKQCcHNq3j,257000,4
0.603,0.748,9,-1.559,1,0.0426,0.386,0.0,0.329,0.511,139.911,track,55JlyXw6KeFeVC9d9uCZ2K,spotify:track:55JlyXw6KeFeVC9d9uCZ2K,https://api.spotify.com/v1/tracks/55JlyXw6KeFeVC9d9uCZ2K,https://api.spotify.com/v1/audio-analysis/55JlyXw6KeFeVC9d9uCZ2K,274027,4
0.436,0.665,10,-4.312,1,0.0301,0.0293,1.04e-06,0.0657,0.392,146.967,track,24BhYE4GTnDoVnzmNJVwEe,spotify:track:24BhYE4GTnDoVnzmNJVwEe,https://api.spotify.com/v1/tracks/24BhYE4GTnDoVnzmNJVwEe,https://api.spotify.com/v1/audio-analysis/24BhYE4GTnDoVnzmNJVwEe,264203,3
0.748,0.709,8,-4.739,1,0.0372,0.313,0.0,0.0662,0.371,99.968,track,30PDtKL5kx2SIO8mdUmlJq,spotify:track:30PDtKL5kx2SIO8mdUmlJq,https://api.spotify.com/v1/tracks/30PDtKL5kx2SIO8mdUmlJq,https://api.spotify.com/v1/audio-analysis/30PDtKL5kx2SIO8mdUmlJq,223267,4
0.675,0.799,1,-5.145,1,0.0286,0.0576,0.0,0.159,0.78,106.009,track,3Wdl8X2RLBUEcAf2lU0JIL,spotify:track:3Wdl8X2RLBUEcAf2lU0JIL,https://api.spotify.com/v1/tracks/3Wdl8X2RLBUEcAf2lU0JIL,https://api.spotify.com/v1/audio-analysis/3Wdl8X2RLBUEcAf2lU0JIL,321227,4
0.509,0.703,8,-3.258,1,0.0318,0.0975,1.19e-06,0.0826,0.358,152.079,track,0MxkstNYYDc406x2ufqoe1,spotify:track:0MxkstNYYDc406x2ufqoe1,https://api.spotify.com/v1/tracks/0MxkstNYYDc406x2ufqoe1,https://api.spotify.com/v1/audio-analysis/0MxkstNYYDc406x2ufqoe1,302747,4
0.659,0.764,2,-3.734,1,0.034,0.132,0.0,0.351,0.709,132.045,track,4ZXFRUod7wpphYc7rfiBVH,spotify:track:4ZXFRUod7wpphYc7rfiBVH,https://api.spotify.com/v1/tracks/4ZXFRUod7wpphYc7rfiBVH,https://api.spotify.com/v1/audio-analysis/4ZXFRUod7wpphYc7rfiBVH,267078,4
0.674,0.709,11,-5.33,1,0.0291,0.319,0.0,0.112,0.397,109.983,track,4Dis47uBIBKiYPt1pCcZpP,spotify:track:4Dis47uBIBKiYPt1pCcZpP,https://api.spotify.com/v1/tracks/4Dis47uBIBKiYPt1pCcZpP,https://api.spotify.com/v1/audio-analysis/4Dis47uBIBKiYPt1pCcZpP,308307,4
0.456,0.659,8,-6.029,1,0.0275,0.0288,0.0,0.159,0.342,82.006,track,7JOLAlh2jmZXwFSxZX6B08,spotify:track:7JOLAlh2jmZXwFSxZX6B08,https://api.spotify.com/v1/tracks/7JOLAlh2jmZXwFSxZX6B08,https://api.spotify.com/v1/audio-analysis/7JOLAlh2jmZXwFSxZX6B08,284933,4
0.572,0.67,1,-4.784,1,0.0299,0.0376,9.33e-06,0.0811,0.718,114.017,track,1ONhLcDQG5TYTj2vvo04VW,spotify:track:1ONhLcDQG5TYTj2vvo04VW,https://api.spotify.com/v1/tracks/1ONhLcDQG5TYTj2vvo04VW,https://api.spotify.com/v1/audio-analysis/1ONhLcDQG5TYTj2vvo04VW,411760,3
0.544,0.529,6,-3.051,1,0.0393,0.037,1.38e-05,0.133,0.398,118.624,track,4n7B16kxcBiYjTw0PX0LOR,spotify:track:4n7B16kxcBiYjTw0PX0LOR,https://api.spotify.com/v1/tracks/4n7B16kxcBiYjTw0PX0LOR,https://api.spotify.com/v1/audio-analysis/4n7B16kxcBiYjTw0PX0LOR,261000,1
0.58,0.784,9,-4.811,1,0.0284,0.0178,1.07e-06,0.33,0.694,139.902,track,4iuzY4aY012eVZryw60HVJ,spotify:track:4iuzY4aY012eVZryw60HVJ,https://api.spotify.com/v1/tracks/4iuzY4aY012eVZryw60HVJ,https://api.spotify.com/v1/audio-analysis/4iuzY4aY012eVZryw60HVJ,259493,4
